shipment_id,order_id,status,shipped_at,delivered_at
S1,O1,shipped,2024-01-02,2024-01-03
S2,O2,shipped,2024-01-03,2024-01-04
S3,O3,shipped,2024-01-04,2024-01-05
S4,O4,delivered,2024-01-05,2024-01-06
S5,O5,delivered,2024-01-06,2024-01-07
S6,O6,delivered,2024-01-07,2024-01-08
S7,O7,delivered,2024-01-08,2024-01-09
S8,O8,shipped,2024-01-09,2024-01-10
S9,O9,delivered,2024-01-10,2024-01-11
S10,O10,shipped,2024-01-11,2024-01-12
S11,O11,delivered,2024-01-12,2024-01-13
S12,O12,delivered,2024-01-13,2024-01-14
S13,O13,shipped,2024-01-14,2024-01-15
S14,O14,delivered,2024-01-15,2024-01-16
S15,O15,delivered,2024-01-16,2024-01-17
S16,O16,delivered,2024-01-17,2024-01-18
S17,O17,delivered,2024-01-18,2024-01-19
S18,O18,shipped,2024-01-19,2024-01-20
S19,O19,shipped,2024-01-20,2024-01-21
S20,O20,delivered,2024-01-21,2024-01-22
